visit_id,timestamp,page_url,session_duration_sec,device_type,browser,traffic_source,country,bounce,conversion,page_views
VISIT000316,2024-01-19 13:00:00,/product/electronics,3289,Mobile,Firefox,Social Media,Canada,False,False,18
VISIT001758,2024-01-19 14:00:00,/product/clothing,1358,Desktop,Chrome,Paid Ads,Australia,True,False,12
VISIT001639,2024-01-20 02:00:00,/product/clothing,720,Desktop,Chrome,Paid Ads,Germany,False,False,7
VISIT000547,2024-01-20 02:00:00,/cart,1498,Mobile,Chrome,Social Media,France,False,False,8
VISIT001280,2024-01-20 03:00:00,/cart,97,Desktop,Chrome,Direct,Germany,True,False,1
VISIT000009,2024-01-20 07:00:00,/contact,2519,Mobile,Chrome,Organic Search,USA,True,False,15
VISIT000753,2024-01-20 14:00:00,/home,662,Desktop,Chrome,Organic Search,Germany,False,False,6
VISIT001500,2024-01-20 21:00:00,/cart,1768,Desktop,Chrome,Paid Ads,UK,False,True,16
VISIT001367,2024-01-21 09:00:00,/product/sports,3286,Desktop,Chrome,Social Media,France,False,False,9
VISIT001015,2024-01-21 11:00:00,/cart,2356,Desktop,Firefox,Organic Search,Canada,False,False,17
VISIT001366,2024-01-21 11:00:00,/home,1203,Desktop,Safari,Social Media,France,False,False,19
VISIT001797,2024-01-21 12:00:00,/product/electronics,2090,Desktop,Edge,Organic Search,Germany,False,False,14
VISIT001493,2024-01-21 17:00:00,/product/clothing,862,Desktop,Firefox,Direct,UK,False,False,8
VISIT001856,2024-01-22 03:00:00,/cart,2098,Desktop,Edge,Direct,Australia,False,False,2
VISIT000019,2024-01-22 04:00:00,/about,1885,Mobile,Opera,Email,Canada,False,False,19
VISIT000456,2024-01-22 10:00:00,/cart,2566,Desktop,Chrome,Organic Search,Canada,False,False,15
VISIT000243,2024-01-22 14:00:00,/product/sports,2730,Desktop,Firefox,Organic Search,Germany,False,False,11
VISIT001438,2024-01-22 14:00:00,/checkout,61,Desktop,Firefox,Social Media,Australia,True,False,16
VISIT001109,2024-01-22 18:00:00,/cart,770,Mobile,Edge,Email,Canada,False,False,8
VISIT000737,2024-01-22 20:00:00,/home,3104,Mobile,Chrome,Organic Search,France,False,True,8
VISIT000192,2024-01-23 08:00:00,/checkout,752,Mobile,Safari,Social Media,France,False,False,5
VISIT001981,2024-01-23 13:00:00,/product/clothing,2164,Mobile,Chrome,Organic Search,Germany,False,True,15
VISIT001808,2024-01-23 17:00:00,/products,2096,Desktop,Firefox,Direct,Germany,False,False,7
VISIT001459,2024-01-23 18:00:00,/products,2677,Tablet,Chrome,Direct,Japan,True,False,6
VISIT000325,2024-01-23 23:00:00,/blog,1574,Desktop,Chrome,Social Media,Australia,True,False,17
VISIT000846,2024-01-24 01:00:00,/contact,745,Desktop,Firefox,Organic Search,Germany,False,True,14
VISIT001909,2024-01-24 03:00:00,/product/electronics,2554,Mobile,Chrome,Social Media,Japan,False,False,17
VISIT000125,2024-01-24 06:00:00,/blog,3229,Mobile,Safari,Paid Ads,Canada,True,False,12
VISIT001232,2024-01-24 08:00:00,/about,2057,Desktop,Chrome,Direct,Canada,False,False,13
VISIT000795,2024-01-24 10:00:00,/blog,290,Mobile,Chrome,Organic Search,UK,True,False,11
VISIT000586,2024-01-24 11:00:00,/about,777,Desktop,Chrome,Organic Search,USA,False,False,1
VISIT001414,2024-01-24 12:00:00,/checkout,1813,Desktop,Chrome,Organic Search,France,True,False,16
VISIT000341,2024-01-24 19:00:00,/home,3424,Desktop,Opera,Social Media,USA,False,False,19
VISIT001506,2024-01-25 00:00:00,/product/clothing,2351,Desktop,Chrome,Social Media,Australia,False,False,19
VISIT000223,2024-01-25 01:00:00,/cart,2296,Desktop,Firefox,Email,Germany,False,False,7
VISIT001485,2024-01-25 04:00:00,/home,2298,Desktop,Edge,Email,Australia,False,False,10
VISIT001284,2024-01-25 08:00:00,/products,1237,Desktop,Edge,Paid Ads,France,True,False,1
VISIT001069,2024-01-25 08:00:00,/blog,559,Mobile,Chrome,Organic Search,Australia,True,False,17
VISIT001718,2024-01-25 10:00:00,/contact,2377,Desktop,Chrome,Organic Search,USA,True,False,18
VISIT000208,2024-01-25 14:00:00,/home,3533,Mobile,Chrome,Organic Search,UK,False,False,11
VISIT000818,2024-01-25 16:00:00,/blog,3000,Desktop,Chrome,Social Media,UK,False,False,2
VISIT000249,2024-01-25 18:00:00,/blog,2562,Desktop,Chrome,Organic Search,Australia,False,False,13
VISIT000117,2024-01-25 21:00:00,/product/clothing,2190,Desktop,Chrome,Organic Search,USA,False,False,18
VISIT000322,2024-01-25 23:00:00,/checkout,2799,Mobile,Chrome,Paid Ads,France,False,False,15
VISIT000218,2024-01-26 00:00:00,/checkout,1746,Mobile,Safari,Social Media,France,False,False,8
VISIT000081,2024-01-26 10:00:00,/blog,1320,Mobile,Chrome,Organic Search,USA,True,False,5
VISIT000396,2024-01-26 17:00:00,/product/clothing,2322,Mobile,Chrome,Organic Search,Canada,False,False,7
VISIT000869,2024-01-26 22:00:00,/about,2468,Desktop,Edge,Email,Canada,False,False,11
VISIT000394,2024-01-27 02:00:00,/products,802,Tablet,Firefox,Organic Search,France,False,False,5
VISIT000507,2024-01-27 07:00:00,/products,2034,Mobile,Opera,Organic Search,UK,False,False,8
VISIT001620,2024-01-27 08:00:00,/product/electronics,2898,Mobile,Safari,Email,Canada,True,False,4
VISIT000489,2024-01-27 13:00:00,/products,2856,Desktop,Safari,Organic Search,France,False,False,1
VISIT001508,2024-01-27 14:00:00,/product/electronics,3348,Desktop,Chrome,Organic Search,Japan,True,False,13
VISIT001054,2024-01-27 18:00:00,/products,2596,Desktop,Safari,Social Media,Japan,True,False,7
VISIT000899,2024-01-27 18:00:00,/checkout,3139,Desktop,Safari,Email,Canada,True,False,11
VISIT001637,2024-01-27 18:00:00,/home,1686,Desktop,Chrome,Direct,UK,False,False,5
VISIT001070,2024-01-28 00:00:00,/about,1147,Desktop,Safari,Direct,Canada,False,False,17
VISIT001215,2024-01-28 00:00:00,/about,3045,Mobile,Chrome,Organic Search,Australia,False,False,3
VISIT001950,2024-01-28 03:00:00,/home,1086,Desktop,Chrome,Organic Search,Germany,True,False,6
VISIT001490,2024-01-28 07:00:00,/product/clothing,2233,Desktop,Chrome,Organic Search,USA,True,False,5
VISIT001103,2024-01-28 07:00:00,/home,334,Mobile,Chrome,Direct,France,False,False,3
VISIT000741,2024-01-28 07:00:00,/product/clothing,3481,Tablet,Chrome,Organic Search,Canada,False,False,1
VISIT001277,2024-01-28 09:00:00,/checkout,3161,Desktop,Edge,Social Media,Canada,False,False,7
VISIT000386,2024-01-28 23:00:00,/product/sports,569,Desktop,Chrome,Organic Search,Germany,False,False,2
VISIT000184,2024-01-29 02:00:00,/product/clothing,65,Desktop,Firefox,Organic Search,Australia,True,False,16
VISIT001687,2024-01-29 04:00:00,/about,2550,Mobile,Chrome,Social Media,Canada,True,False,16
VISIT001118,2024-01-29 09:00:00,/blog,1079,Desktop,Safari,Email,Japan,False,False,6
VISIT000647,2024-01-29 14:00:00,/products,3413,Desktop,Chrome,Organic Search,UK,False,False,13
VISIT001123,2024-01-29 18:00:00,/blog,1894,Mobile,Chrome,Paid Ads,France,True,False,5
VISIT001695,2024-01-30 00:00:00,/product/clothing,3043,Desktop,Chrome,Direct,France,False,False,14
VISIT000294,2024-01-30 01:00:00,/product/electronics,1850,Desktop,Edge,Social Media,UK,True,False,10
VISIT001755,2024-01-30 06:00:00,/home,2051,Desktop,Safari,Direct,Canada,False,False,6
VISIT000561,2024-01-30 06:00:00,/product/sports,3191,Mobile,Safari,Direct,Canada,True,False,8
VISIT000258,2024-01-30 12:00:00,/product/electronics,2822,Desktop,Edge,Email,Germany,False,False,18
VISIT000781,2024-01-30 15:00:00,/cart,1044,Mobile,Safari,Social Media,Australia,False,False,12
VISIT000217,2024-01-30 20:00:00,/cart,3248,Mobile,Chrome,Email,France,False,False,2
VISIT001869,2024-01-30 23:00:00,/checkout,3289,Desktop,Chrome,Social Media,Germany,False,False,8
VISIT001829,2024-01-31 01:00:00,/home,1643,Mobile,Chrome,Direct,UK,False,False,3
VISIT000736,2024-01-31 02:00:00,/checkout,2699,Mobile,Safari,Social Media,Germany,True,False,13
VISIT001169,2024-01-31 13:00:00,/checkout,2680,Mobile,Chrome,Email,Germany,True,False,5
VISIT001725,2024-01-31 13:00:00,/product/electronics,106,Desktop,Chrome,Social Media,Canada,False,False,13
VISIT001356,2024-01-31 13:00:00,/home,468,Mobile,Chrome,Paid Ads,Germany,False,False,11
VISIT001678,2024-01-31 17:00:00,/blog,2364,Mobile,Edge,Organic Search,Germany,False,False,3
VISIT000796,2024-01-31 18:00:00,/product/electronics,452,Mobile,Firefox,Organic Search,UK,False,False,8
VISIT001262,2024-01-31 18:00:00,/checkout,986,Tablet,Firefox,Paid Ads,Canada,False,False,6
VISIT000427,2024-01-31 21:00:00,/home,3460,Desktop,Chrome,Social Media,Australia,False,False,12
VISIT000731,2024-02-01 02:00:00,/checkout,338,Desktop,Firefox,Social Media,Canada,False,False,18
VISIT001360,2024-02-01 04:00:00,/product/clothing,2436,Tablet,Safari,Organic Search,France,False,False,1
VISIT001614,2024-02-01 08:00:00,/product/clothing,3143,Mobile,Chrome,Email,Australia,False,False,2
VISIT000133,2024-02-01 09:00:00,/product/clothing,3163,Desktop,Firefox,Direct,Japan,True,False,3
VISIT000864,2024-02-01 17:00:00,/blog,2244,Mobile,Firefox,Direct,France,True,False,14
VISIT000611,2024-02-01 19:00:00,/blog,2409,Mobile,Chrome,Organic Search,Japan,True,False,12
VISIT001306,2024-02-02 01:00:00,/home,1113,Desktop,Chrome,Direct,Japan,True,False,8
VISIT001601,2024-02-02 04:00:00,/product/clothing,1194,Desktop,Chrome,Direct,USA,True,False,19
VISIT001629,2024-02-02 13:00:00,/about,2903,Mobile,Opera,Email,Canada,True,False,6
VISIT001108,2024-02-02 14:00:00,/products,3128,Tablet,Firefox,Paid Ads,Japan,True,False,1
VISIT000185,2024-02-02 18:00:00,/checkout,3334,Desktop,Firefox,Paid Ads,France,True,False,5
VISIT001456,2024-02-02 20:00:00,/cart,1293,Mobile,Chrome,Direct,Canada,False,False,3
VISIT000600,2024-02-02 20:00:00,/product/sports,254,Desktop,Chrome,Social Media,Japan,False,False,9
VISIT001020,2024-02-02 20:00:00,/blog,1764,Desktop,Chrome,Organic Search,Japan,False,False,5
VISIT001511,2024-02-03 03:00:00,/cart,2040,Desktop,Edge,Direct,Germany,True,False,3
VISIT000640,2024-02-03 08:00:00,/home,3060,Mobile,Safari,Direct,UK,False,False,3
VISIT000327,2024-02-03 12:00:00,/product/electronics,859,Desktop,Firefox,Direct,Japan,True,False,18
VISIT001468,2024-02-03 16:00:00,/checkout,510,Mobile,Safari,Social Media,USA,True,False,15
VISIT001012,2024-02-03 18:00:00,/product/electronics,1889,Mobile,Chrome,Organic Search,UK,False,True,12
VISIT001824,2024-02-03 23:00:00,/about,1599,Mobile,Edge,Social Media,Japan,False,False,12
VISIT000982,2024-02-04 02:00:00,/product/sports,3038,Desktop,Firefox,Direct,USA,False,False,18
VISIT000338,2024-02-04 03:00:00,/product/electronics,3398,Mobile,Chrome,Organic Search,UK,False,False,11
VISIT000715,2024-02-04 05:00:00,/product/sports,3028,Desktop,Edge,Email,USA,False,False,5
VISIT000950,2024-02-04 09:00:00,/checkout,2143,Desktop,Safari,Social Media,Germany,False,False,18
VISIT001512,2024-02-04 13:00:00,/blog,1792,Desktop,Firefox,Social Media,Germany,False,False,19
VISIT001253,2024-02-04 21:00:00,/product/sports,1594,Desktop,Firefox,Direct,Canada,False,False,11
VISIT000029,2024-02-04 23:00:00,/contact,2413,Desktop,Safari,Organic Search,Canada,True,False,14
VISIT001107,2024-02-05 03:00:00,/cart,996,Mobile,Edge,Organic Search,Japan,False,False,5
VISIT000472,2024-02-05 05:00:00,/cart,3426,Desktop,Opera,Social Media,USA,False,False,3
VISIT000200,2024-02-05 11:00:00,/products,2642,Desktop,Edge,Organic Search,USA,True,True,10
VISIT001119,2024-02-05 11:00:00,/cart,3585,Desktop,Chrome,Social Media,USA,False,False,3
VISIT001540,2024-02-05 12:00:00,/checkout,89,Desktop,Safari,Direct,USA,True,False,7
VISIT001530,2024-02-06 00:00:00,/product/clothing,1429,Desktop,Edge,Paid Ads,Germany,False,False,2
VISIT000252,2024-02-06 05:00:00,/blog,1537,Mobile,Chrome,Organic Search,Japan,False,False,8
VISIT000816,2024-02-06 08:00:00,/checkout,1240,Desktop,Safari,Social Media,Canada,False,False,4
VISIT000003,2024-02-06 08:00:00,/blog,3400,Desktop,Chrome,Direct,Canada,True,False,18
VISIT000897,2024-02-06 09:00:00,/product/clothing,1064,Mobile,Opera,Organic Search,USA,True,False,3
VISIT000671,2024-02-06 09:00:00,/blog,1735,Desktop,Chrome,Paid Ads,Germany,False,False,1
VISIT001932,2024-02-06 10:00:00,/product/electronics,1110,Desktop,Chrome,Organic Search,Germany,True,False,16
VISIT001465,2024-02-06 12:00:00,/product/sports,2186,Desktop,Safari,Email,France,True,False,5
VISIT001373,2024-02-06 15:00:00,/product/sports,1021,Mobile,Chrome,Direct,Germany,False,False,6
VISIT001815,2024-02-06 19:00:00,/product/electronics,3278,Mobile,Firefox,Organic Search,France,False,False,10
VISIT000591,2024-02-07 01:00:00,/contact,2883,Desktop,Edge,Organic Search,UK,False,False,3
VISIT000382,2024-02-07 03:00:00,/about,2767,Desktop,Chrome,Organic Search,Germany,False,False,10
VISIT001236,2024-02-07 16:00:00,/product/clothing,2850,Desktop,Safari,Paid Ads,Australia,False,False,2
VISIT001455,2024-02-07 16:00:00,/about,1726,Mobile,Firefox,Direct,UK,False,False,18
VISIT001766,2024-02-07 23:00:00,/product/electronics,2680,Desktop,Firefox,Organic Search,Germany,True,False,12
VISIT001756,2024-02-08 08:00:00,/about,3106,Mobile,Firefox,Social Media,USA,False,False,2
VISIT001726,2024-02-08 09:00:00,/checkout,2553,Mobile,Firefox,Social Media,Japan,False,False,8
VISIT001332,2024-02-08 13:00:00,/products,1369,Mobile,Chrome,Direct,USA,True,False,17
VISIT000164,2024-02-08 16:00:00,/products,2099,Desktop,Chrome,Social Media,USA,True,True,3
VISIT000524,2024-02-08 16:00:00,/about,1318,Mobile,Firefox,Social Media,France,False,False,14
